ID,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev
1611,227,40,0.8125,0,0.1875,5.8341,5.8343,14.3401,89.9999,89.998,120.0005,,
1612,167,30,0.0833,0.25,0.6667,5.3847,5.3842,14.3315,89.9982,90.0005,120.0009,,
1613,12,20,0.375,0,0.625,12.1835,3.2061,6.4421,89.9999,105.4406,90.0001,,
1614,194,80,0.2812,0.3438,0.375,6.5691,6.5688,24.3694,90.0106,90.0042,119.9924,,
1615,33,80,0.125,0.6562,0.2188,10.4287,8.9342,9.5539,89.9986,90.0008,90.0009,,
1616,12,80,0.2188,0.7812,0,24.6943,6.1068,5.8324,89.9999,103.7358,90.0001,,
1617,33,40,0,0.5,0.5,5.3995,9.22,9.8402,89.9983,89.9989,90.0001,,
1618,194,80,0.4688,0.0312,0.5,6.6025,6.6021,24.3892,90.0166,90.011,119.9926,,
1619,206,80,0.0938,0.0625,0.8438,10.1125,10.1124,10.1127,90.0008,90.0009,89.9989,,
1620,194,80,0.4688,0,0.5312,6.6257,6.6252,24.4294,90.0173,90.0113,119.9922,,
1621,12,80,0.5938,0.4062,0,24.3046,6.0002,5.7556,89.9994,103.8693,90.0002,,
1622,227,40,0,0.9375,0.0625,10.3453,5.9103,14.7735,97.014,95.6274,30.0951,,
1623,33,80,0.4375,0.0312,0.5312,10.6292,9.0718,9.6997,90.0028,89.9998,90.0005,,
1624,206,80,0.0625,0.0312,0.9062,10.181,10.181,10.1813,90.0006,90.0007,89.9991,,
1625,167,30,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,,
1626,33,80,0.0625,0.2188,0.7188,11.0125,9.3786,10.002,89.9997,89.9976,90.0001,,
1627,206,80,0,0.0938,0.9062,10.2072,10.2072,10.2074,90.0008,90.0008,89.9987,,
1628,194,80,0.0312,0.4688,0.5,6.7431,6.7427,24.7186,90.0005,89.9974,119.9883,,
1629,12,80,0.4375,0.25,0.3125,24.3844,6.2195,6.1079,89.9997,104.6791,90.0001,,
1630,12,80,0.4062,0.3125,0.2812,24.4252,6.2109,6.0822,89.9997,104.5856,90.0001,,
1631,227,40,0.1875,0.5,0.3125,10.3967,6.0239,14.8421,91.0284,91.1952,30.3483,,
1632,33,80,0.3125,0.3125,0.375,10.5143,8.9905,9.6149,90.0011,90.0003,90.0006,,
1633,206,80,0,0.4062,0.5938,9.9301,9.9301,9.9301,90.0025,90.0022,89.9966,,
1634,33,80,0.3125,0.2812,0.4062,10.549,9.0167,9.6414,90.0012,90.0002,90.0005,,
1635,33,80,0.1875,0.4062,0.4062,10.6074,9.0666,9.6891,89.9999,89.9999,90.0004,,
1636,206,80,0,0.6875,0.3125,9.6807,9.6808,9.6804,90.0042,90.0036,89.9946,,
1637,167,30,0.75,0.1667,0.0833,4.9172,4.917,13.3449,89.9883,90.0127,120.0015,,
1638,167,30,0.4167,0.0833,0.5,5.2158,5.2154,13.9784,89.994,90.0058,120.0013,,
1639,33,80,0.625,0.1875,0.1875,10.1602,8.7086,9.3366,90.0034,90.0017,90.001,,
1640,227,40,0,0.75,0.25,10.4134,6.0342,14.8738,91.0486,91.22,30.3585,,
1641,12,20,0.75,0,0.25,12.0381,3.0478,5.9801,89.9993,104.6228,90.0002,,
1642,167,30,0.25,0.75,0,4.9979,4.9974,13.5009,89.9966,90.0048,120.0003,,
1643,227,40,0.0625,0.625,0.3125,6.1458,6.1446,14.4547,90.0183,90.0052,120.0035,,
1644,12,80,0.2812,0.25,0.4688,24.5056,6.3514,6.3003,89.9999,105.0268,90.0001,,
1645,167,30,0.25,0,0.75,5.3867,5.3862,14.3418,89.9956,90.0029,120.0014,,
1646,33,80,0.7188,0.2188,0.0625,9.9778,8.5663,9.1947,90.0038,90.0022,90.0013,,
1647,12,20,0.5,0.5,0,12.201,3.0134,5.7748,89.9995,103.8357,90.0002,,
1648,227,40,0.8125,0,0.1875,5.8832,5.8822,14.3385,90.0907,88.8021,120.0535,,
1649,12,80,0.1562,0.3438,0.5,24.6273,6.4045,6.3578,90.0001,105.0628,90.0001,,
1650,33,80,0.5625,0.4375,0,9.9815,8.5762,9.2014,90.002,90.0023,90.0017,,
1651,227,40,0.5,0.1875,0.3125,6.0277,6.0259,14.737,90.0623,88.116,120.0356,,
1652,194,80,0.5938,0.4062,0,6.1935,6.1934,23.6522,90.0189,89.998,120.0021,,
1653,194,80,0.125,0.4688,0.4062,6.6429,6.6426,24.5273,90.0041,90.0011,119.9904,,
1654,206,80,0.4375,0.3438,0.2188,9.4143,9.414,9.414,90.0031,90.0034,89.9969,,
1655,227,40,0,0.3125,0.6875,10.8693,6.2713,14.9701,84.4314,83.5345,30.9886,,
1656,33,80,0.125,0.4688,0.4062,10.6366,9.0915,9.713,89.9993,89.9998,90.0004,,
1657,12,20,0.625,0.375,0,12.1361,2.9957,5.7492,89.9994,103.8806,90.0002,,
1658,206,80,0.0625,0.0625,0.875,10.1533,10.1533,10.1535,90.0008,90.0008,89.9989,,
1659,33,40,0,0.625,0.375,5.3302,9.1151,9.7342,89.9979,89.9997,90.0004,,
1660,194,80,0.4375,0.4062,0.1562,6.3577,6.3575,23.9705,90.0147,90.0037,119.9974,,
1661,33,80,0.6562,0.2188,0.125,10.0763,8.6437,9.2716,90.0034,90.0019,90.0012,,
1662,12,80,0.25,0.5,0.25,24.5958,6.2379,6.082,89.9999,104.4479,90.0001,,
1663,206,80,0.2812,0.3125,0.4062,9.646,9.6458,9.6458,90.0025,90.0026,89.9972,,
1664,33,80,0.25,0.75,0,10.1276,8.7008,9.3206,89.9989,90.002,90.0019,,
1665,33,80,0.125,0.0625,0.8125,11.0873,9.4324,10.0577,90.0006,89.9971,90.0003,,
1666,194,80,0.4062,0.25,0.3438,6.5063,6.506,24.2351,90.0137,90.0068,119.9942,,
1667,12,20,0.75,0.25,0,12.0711,2.9779,5.7236,89.9992,103.9258,90.0002,,
1668,33,80,0.5,0.2188,0.2812,10.3226,8.8371,9.4638,90.0025,90.0011,90.0008,,
1669,206,80,0.3438,0.0625,0.5938,9.7861,9.7858,9.7861,90.0011,90.0016,89.9989,,
1670,167,30,0.5833,0,0.4167,5.1313,5.131,13.8018,89.9916,90.0086,120.0016,,
1671,33,40,0.8125,0,0.1875,5.0363,8.6338,9.265,90.0051,90.0019,90.0009,,
1672,194,80,0.2188,0.5,0.2812,6.52,6.5198,24.2958,90.0076,90.0035,119.993,,
1673,12,20,0.25,0,0.75,12.2319,3.2589,6.5962,90,105.6922,90.0001,,
1674,167,30,0.4167,0.5833,0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007,,
1675,33,80,0.3438,0.25,0.4062,10.5343,9.0043,9.6295,90.0015,90.0002,90.0005,,
1676,33,80,0.1562,0.3438,0.5,10.726,9.1577,9.7806,89.9999,89.9993,90.0003,,
1677,206,80,0.4688,0.3125,0.2188,9.4012,9.4008,9.4009,90.003,90.0033,89.9971,,
1678,33,80,0.4062,0.125,0.4688,10.5745,9.0318,9.6587,90.0023,90,90.0005,,
1679,12,80,0.2188,0.5,0.2812,24.62,6.2643,6.1204,90,104.5208,90.0001,,
1680,12,80,0.375,0.4062,0.2188,24.4741,6.1848,6.0244,89.9998,104.4069,90.0001,,
1681,12,80,0.4375,0.2812,0.2812,24.3927,6.202,6.0758,89.9997,104.5965,90.0001,,
1682,227,40,0.1875,0.5,0.3125,6.0728,6.0725,14.8624,89.9897,90.0088,119.9957,,
1683,167,30,0.5,0.5,0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,,
1684,33,80,0.9062,0.0625,0.0312,9.8554,8.4654,9.0967,90.0054,90.0023,90.0013,,
1685,206,80,0,0.3438,0.6562,9.9855,9.9855,9.9855,90.0022,90.0019,89.997,,
1686,194,80,0.4375,0.125,0.4375,6.5659,6.5655,24.3322,90.0152,90.0089,119.9932,,
1687,206,80,0.5938,0.2188,0.1875,9.3211,9.3207,9.3208,90.0027,90.0033,89.9978,,
1688,33,80,0.5625,0.2812,0.1562,10.1548,8.7073,9.3339,90.0027,90.0017,90.0011,,
1689,167,30,0.4167,0,0.5833,5.259,5.2586,14.0718,89.9939,90.0057,120.0015,,
1690,194,80,0.4688,0.1875,0.3438,6.4868,6.4864,24.1881,90.0146,90.0084,119.9948,,
1691,12,80,0.4688,0.2812,0.25,24.3685,6.1757,6.0374,89.9997,104.5239,90.0001,,
1692,227,40,0,0.0625,0.9375,6.546,6.5439,15.5253,90.011,89.9997,120.0005,,
1693,227,40,0.5625,0.125,0.3125,6.002,6.0012,14.3698,90.0068,89.9959,119.9994,,
1694,12,80,0.0625,0.5,0.4375,24.7412,6.3961,6.3127,90.0002,104.8741,90.0001,,
1695,167,30,0.5,0.25,0.25,5.0655,5.0652,13.6565,89.9928,90.0079,120.0012,,
1696,194,80,0.4062,0.5938,0,6.252,6.252,23.7931,90.0172,89.9994,119.9997,,
1697,227,40,0.4375,0.5625,0,9.8929,5.7466,14.2052,91.1995,91.3921,30.5998,,
1698,33,40,0.375,0.625,0,5.0346,8.651,9.2729,90.0002,90.0021,90.0019,,
1699,167,30,0.3333,0.6667,0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005,,
1700,206,80,0.375,0.1875,0.4375,9.6344,9.6342,9.6343,90.0019,90.0023,89.998,,
1701,33,40,0,0.125,0.875,5.6075,9.5347,10.1584,89.9996,89.9963,90.0001,,
1702,33,80,0.375,0.5,0.125,10.2078,8.7558,9.379,90.0007,90.0016,90.0013,,
1703,227,40,0,0.125,0.875,6.5058,6.5058,15.6882,89.9985,89.991,119.9911,,
1704,167,30,0.5,0.5,0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,,
1705,167,30,0.5833,0.4167,0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,,
1706,33,40,0,0.1875,0.8125,5.5728,9.4822,10.1054,89.9994,89.9967,90,,
1707,167,60,0,0.5833,0.4167,10.5515,5.2752,14.0928,90.0002,89.9996,120.0004,,
1708,227,40,0.1875,0.5625,0.25,10.3337,5.987,14.752,90.9872,91.1476,30.3419,,
1709,167,30,0.9167,0.0833,0,4.8328,4.8326,13.1683,89.9848,90.016,120.0018,,
1710,227,40,0.625,0.0625,0.3125,5.9596,5.9597,14.6459,89.9997,89.9969,120.0005,,
1711,167,30,0.5,0.0833,0.4167,5.1519,5.1516,13.8434,89.9929,90.0073,120.0014,,
1712,12,20,0.75,0.25,0,12.0711,2.9779,5.7236,89.9992,103.9258,90.0002,,
1713,227,40,0.8125,0.1875,0,9.839,5.6764,13.8993,92.1548,92.0238,30.1576,,
1714,227,40,0.375,0.3125,0.3125,10.3617,5.9552,14.7614,96.345,95.4482,30.2224,,
1715,33,80,0.4062,0.375,0.2188,10.2972,8.822,9.4466,90.0014,90.0013,90.0009,,
1716,227,40,0.375,0.0625,0.5625,10.6077,6.1277,14.89,95.297,96.0902,30.0633,,
1717,33,40,0.125,0,0.875,5.5783,9.4849,10.1107,90.0008,89.9967,90.0004,,
1718,194,80,0.75,0.0312,0.2188,6.3088,6.3084,23.816,90.012,90.0122,119.9997,,
1719,194,80,0.3125,0.6875,0,6.282,6.282,23.8637,90.0145,90.0009,119.9984,,
1720,206,80,0.125,0.1562,0.7188,9.9886,9.9885,9.9886,90.0013,90.0014,89.9983,,
1721,12,80,0.4062,0.4375,0.1562,24.4582,6.141,5.954,89.9997,104.2464,90.0002,,
1722,12,20,0.375,0.625,0,12.2659,3.0312,5.8004,89.9997,103.7911,90.0002,,
1723,206,80,0.375,0.3125,0.3125,9.5236,9.5233,9.5234,90.0027,90.003,89.9971,,
1724,12,80,0.0938,0.625,0.2812,24.75,6.2998,6.1459,90.0001,104.4779,90.0001,,
1725,33,40,0.1875,0,0.8125,5.529,9.4075,10.0338,90.0013,89.9973,90.0004,,
1726,206,80,0.0312,0.0938,0.875,10.1664,10.1664,10.1666,90.0009,90.0008,89.9987,,
1727,167,30,0.4167,0.5833,0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007,,
1728,206,80,0.4688,0.5312,0,9.2073,9.2069,9.2068,90.0045,90.0046,89.9956,,
1729,227,40,0.875,0,0.125,5.8037,5.8031,13.8023,90.0112,90.0018,120.003,,
1730,167,30,0.75,0.0833,0.1667,4.9604,4.9602,13.4383,89.9886,90.0123,120.0016,,
1731,227,40,0.5,0.1875,0.3125,6.0277,6.0259,14.737,90.0623,88.116,120.0356,,
1732,12,80,0.5,0,0.5,24.27,6.3067,6.288,89.9997,105.179,90.0001,,
1733,167,30,0.8333,0,0.1667,4.9398,4.9396,13.3968,89.9871,90.0137,120.0018,,
1734,227,40,0.4375,0.4375,0.125,10.1017,5.8503,14.4097,90.8177,90.9496,30.3062,,
1735,206,80,0.2812,0.3125,0.4062,9.646,9.6458,9.6458,90.0025,90.0026,89.9972,,
1736,33,80,0.6875,0.2812,0.0312,9.9577,8.5526,9.1802,90.0033,90.0022,90.0015,,
1737,33,80,0.4688,0.125,0.4062,10.4759,8.9544,9.5818,90.0027,90.0005,90.0006,,
1738,206,80,0.4062,0.2188,0.375,9.5659,9.5656,9.5657,90.0022,90.0026,89.9978,,
1739,227,40,0.0625,0.625,0.3125,10.4498,6.0554,14.9233,91.069,91.2431,30.3593,,
1740,12,80,0.375,0.25,0.375,24.4329,6.2723,6.1848,89.9998,104.8203,90.0001,,
1741,194,80,0.375,0.625,0,6.2619,6.2619,23.8166,90.0165,89.9999,119.9993,,
1742,206,80,0.4062,0.5938,0,9.2335,9.2331,9.2329,90.0048,90.0047,89.9952,,
1743,167,30,0.5833,0.1667,0.25,5.0449,5.0446,13.6149,89.9915,90.0092,120.0014,,
1744,194,80,0.625,0.3438,0.0312,6.2071,6.2069,23.6688,90.0177,89.9997,120.0018,,
1745,167,30,0.4167,0.25,0.3333,5.1294,5.129,13.7915,89.9942,90.0063,120.0011,,
1746,227,40,0.25,0.75,0,9.9639,5.7902,14.3264,91.3119,91.5237,30.6395,,
1747,194,80,0.4062,0.1562,0.4375,6.5757,6.5753,24.3557,90.0147,90.0079,119.9929,,
1748,33,80,0.6562,0.3125,0.0312,9.9723,8.565,9.1921,90.003,90.0022,90.0015,,
1749,227,40,0.8125,0.0625,0.125,9.665,5.6613,14.3634,99.1028,100.6816,31.3967,,
1750,167,30,0.9167,0.0833,0,4.8328,4.8326,13.1683,89.9848,90.016,120.0018,,
1751,194,80,0,0.8438,0.1562,6.5005,6.5004,24.2999,89.9949,90.0061,119.992,,
1752,227,40,0.0625,0.1875,0.75,6.3716,6.3713,15.5769,89.983,90.0171,119.9918,,
1753,206,80,0,0.4688,0.5312,9.8747,9.8747,9.8746,90.0029,90.0025,89.9962,,
1754,227,40,0.0625,0.625,0.3125,6.1377,6.1351,15.0644,90.0277,88.1847,120.008,,
1755,12,80,0,0.0938,0.9062,24.6825,6.6763,6.808,90.0004,105.9639,90,,
1756,33,80,0.9375,0.0625,0,9.8062,8.4267,9.0582,90.0055,90.0024,90.0013,,
1757,33,40,0.25,0.3125,0.4375,5.3064,9.0679,9.6918,90.0007,89.9999,90.0004,,
1758,227,40,0.5625,0.125,0.3125,10.2374,5.9295,14.5988,90.9038,91.0482,30.3148,,
1759,167,30,0.0833,0.9167,0,5.0391,5.0386,13.584,89.9993,90.002,120,,
1760,33,80,0.5625,0.25,0.1875,10.1894,8.7335,9.3604,90.0028,90.0016,90.001,,
1761,12,80,0.0938,0.625,0.2812,24.75,6.2998,6.1459,90.0001,104.4779,90.0001,,
1762,12,20,0.5,0,0.5,12.135,3.1533,6.288,89.9997,105.179,90.0001,,
1763,227,40,0.5,0.3125,0.1875,10.1576,5.8797,14.2696,88.9844,88.8314,30.2599,,
1764,167,30,0,0.75,0.25,5.1894,5.1888,13.9059,90.0005,89.9999,120.0001,,
1765,206,80,0,0.25,0.75,10.0687,10.0687,10.0687,90.0016,90.0015,89.9977,,
1766,206,80,0.5312,0,0.4688,9.5967,9.5963,9.5966,90.0011,90.0019,89.9993,,
1767,33,80,0.2188,0.625,0.1562,10.3155,8.8443,9.4651,89.9993,90.0013,90.0012,,
1768,167,60,0.75,0,0.25,10.0072,5.0034,13.5318,89.9888,90.0119,120.0017,,
1769,206,80,0.2188,0.4062,0.375,9.6445,9.6443,9.6443,90.0029,90.0029,89.9965,,
1770,206,80,0.2812,0.125,0.5938,9.8123,9.812,9.8123,90.0014,90.0017,89.9984,,
1771,206,80,0.625,0.0625,0.3125,9.4189,9.4184,9.4187,90.0017,90.0025,89.9988,,
1772,227,40,0,0.1875,0.8125,10.9802,6.3662,15.6847,91.397,91.6226,30.4126,,
1773,33,80,0.4375,0.0938,0.4688,10.5598,9.0193,9.6467,90.0026,90.0001,90.0005,,
1774,12,80,0.2188,0.4375,0.3438,24.6036,6.2992,6.1846,90,104.6857,90.0001,,
1775,206,80,0.3125,0.25,0.4375,9.6606,9.6604,9.6605,90.0022,90.0024,89.9976,,
1776,206,80,0.0938,0.9062,0,9.3644,9.3643,9.3638,90.006,90.0052,89.9931,,
1777,167,30,0.5833,0.0833,0.3333,5.0881,5.0878,13.7084,89.9916,90.0089,120.0015,,
1778,206,80,0.5312,0.3125,0.1562,9.3196,9.3192,9.3192,90.0032,90.0035,89.9971,,
1779,194,80,0.2812,0.1562,0.5625,6.7077,6.7073,24.6107,90.0142,90.0034,119.9901,,
1780,194,80,0.1562,0.125,0.7188,6.8634,6.8629,24.9061,90.0145,89.9956,119.9874,,
1781,194,80,0.25,0.3438,0.4062,6.6022,6.6019,24.4331,90.0099,90.0034,119.9917,,
1782,206,80,0,0.5625,0.4375,9.7916,9.7916,9.7914,90.0034,90.003,89.9955,,
1783,227,40,0.75,0,0.25,5.8887,5.8888,14.4713,90,89.9973,120.0004,,
1784,206,80,0,1,0,9.4037,9.4037,9.4031,90.0064,90.0054,89.9925,,
1785,167,30,0.75,0.1667,0.0833,4.9172,4.917,13.3449,89.9883,90.0127,120.0015,,
1786,12,80,0.4062,0.25,0.3438,24.4087,6.2459,6.1464,89.9998,104.7501,90.0001,,
1787,206,80,0,0.25,0.75,10.0687,10.0687,10.0687,90.0016,90.0015,89.9977,,
1788,206,80,0.375,0.5312,0.0938,9.3297,9.3294,9.3292,90.0042,90.0042,89.9956,,
1789,194,80,0.0312,0.4688,0.5,6.7431,6.7427,24.7186,90.0005,89.9974,119.9883,,
1790,227,40,0.625,0,0.375,10.2738,5.9507,14.6483,90.925,91.0723,30.3158,,
1791,227,40,0.6875,0.1875,0.125,5.8284,5.8285,14.3393,89.9988,89.9994,120.0006,,
1792,33,40,0,0.4375,0.5625,5.4342,9.2724,9.8933,89.9986,89.9985,90.0001,,
1793,33,40,0.75,0.25,0,4.9469,8.5014,9.1298,90.0038,90.0023,90.0015,,
1794,206,80,0.2188,0.0312,0.75,9.977,9.9768,9.9771,90.0008,90.0011,89.9991,,
1795,33,40,0.8125,0,0.1875,5.0363,8.6338,9.265,90.0051,90.0019,90.0009,,
1796,194,80,0.2188,0.25,0.5312,6.7047,6.7043,24.6175,90.0111,90.0015,119.9899,,
1797,194,80,0.25,0.3125,0.4375,6.6253,6.625,24.4733,90.0104,90.0033,119.9913,,
1798,33,80,0.4062,0.2812,0.3125,10.4011,8.9007,9.5261,90.0017,90.0008,90.0007,,
1799,12,80,0.25,0.0625,0.6875,24.4803,6.4827,6.5318,90,105.547,90.0001,,
1800,33,80,0.8125,0.125,0.0625,9.9339,8.529,9.159,90.0046,90.0022,90.0013,,
1801,33,40,0.875,0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,,
1802,227,40,0.5,0.1875,0.3125,9.8692,5.7321,14.1649,91.1614,91.3477,30.5865,,
1803,12,80,0.6562,0.1562,0.1875,24.1901,6.0874,5.935,89.9994,104.4207,90.0002,,
1804,206,80,0,0.8438,0.1562,9.5422,9.5422,9.5418,90.0053,90.0045,89.9936,,
1805,227,40,0.4375,0.5625,0,9.7033,5.6831,14.3978,96.9425,98.1463,31.3835,,
1806,227,40,0.1875,0.5,0.3125,6.1117,6.1107,14.389,90.0177,90.0044,120.003,,
1807,167,30,0.4167,0.5833,0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007,,
1808,227,40,0.4375,0.125,0.4375,10.4164,6.0348,14.86,91.0287,91.1936,30.339,,
1809,33,80,0.0312,0.125,0.8438,11.1657,9.496,10.12,89.9998,89.9966,90.0001,,
1810,33,80,0.3125,0.3125,0.375,10.5143,8.9905,9.6149,90.0011,90.0003,90.0006,,
1811,227,40,0.875,0.125,0,9.7274,5.645,13.9226,90.9296,91.0771,30.5047,,
1812,194,80,0.2812,0.5,0.2188,6.4537,6.4535,24.1684,90.0101,90.0038,119.9946,,
1813,167,30,0.1667,0.6667,0.1667,5.1049,5.1044,13.7293,89.9981,90.0028,120.0004,,
1814,227,40,0,0.1875,0.8125,10.4769,6.2113,15.18,96.8855,98.1698,32.4984,,
1815,206,80,0.3438,0.4375,0.2188,9.4536,9.4533,9.4532,90.0035,90.0035,89.9963,,
1816,12,20,0.375,0.125,0.5,12.1999,3.1711,6.3134,89.9998,105.1365,90.0001,,
1817,227,40,0.125,0.5625,0.3125,10.0532,5.9202,14.7504,96.2392,97.3545,31.8847,,
1818,194,80,0.4688,0.25,0.2812,6.4405,6.4402,24.1077,90.0144,90.0071,119.9957,,
1819,206,80,0.4375,0.4062,0.1562,9.3589,9.3586,9.3585,90.0035,90.0037,89.9965,,
1820,33,80,0.0625,0.0625,0.875,11.1858,9.5098,10.1346,90.0002,89.9965,90.0002,,
1821,167,30,0.5833,0.4167,0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,,
1822,227,40,0.3125,0.375,0.3125,6.0669,6.0671,14.7676,90.0088,89.9864,119.9988,,
1823,206,80,0.625,0.375,0,9.1418,9.1413,9.1413,90.0039,90.0043,89.9967,,
1824,12,20,0,0.125,0.875,12.3454,3.3294,6.7758,90.0003,105.8946,90,,
1825,33,80,0.7812,0.0312,0.1875,10.0872,8.6463,9.2769,90.0049,90.0018,90.0009,,
1826,33,80,0.5312,0.375,0.0938,10.1001,8.6673,9.2928,90.0021,90.0019,90.0013,,
1827,194,80,0.8125,0.1562,0.0312,6.1511,6.1508,23.5281,90.0132,90.0014,120.0041,,
1828,206,80,0.2812,0.7188,0,9.2858,9.2856,9.2853,90.0053,90.0049,89.9943,,
1829,167,30,0.5,0.3333,0.1667,5.0223,5.022,13.5631,89.9927,90.0082,120.0011,,
1830,12,20,0.875,0,0.125,11.9897,2.9951,5.8262,89.9991,104.3267,90.0002,,
1831,33,80,0.3125,0.5312,0.1562,10.2717,8.807,9.4293,90.0002,90.0014,90.0012,,
1832,167,30,0.8333,0.0833,0.0833,4.8966,4.8964,13.3033,89.9868,90.0141,120.0017,,
1833,206,80,0.125,0,0.875,10.1271,10.127,10.1273,90.0005,90.0007,89.9993,,
1834,206,80,0.5625,0.4375,0,9.168,9.1675,9.1675,90.0042,90.0044,89.9963,,
