"","x"
"1097","Rock"
"1098","Classical"
"1099","Jazz"
"1100","Blues"
"1101","Classical"
"1102","Metal"
"1103","Blues"
"1104","Blues"
"1105","Rock"
"1106","Classical"
"1107","Jazz"
"1108","Blues"
"1109","Jazz"
"1110","Classical"
"1111","Blues"
"1112","Classical"
"1113","Classical"
"1114","Classical"
"1115","Classical"
"1116","Rock"
"1117","Jazz"
"1118","Metal"
"1119","Metal"
"1120","Classical"
"1121","Classical"
"1122","Jazz"
"1123","Rock"
"1124","Classical"
"1125","Classical"
"1126","Jazz"
"1127","Jazz"
"1128","Pop"
"1129","Metal"
"1130","Classical"
"1131","Blues"
"1132","Jazz"
"1133","Jazz"
"1134","Jazz"
"1135","Classical"
"1136","Rock"
"1137","Rock"
"1138","Rock"
"1139","Classical"
"1140","Rock"
"1141","Jazz"
"1142","Classical"
"1143","Classical"
"1144","Classical"
"1145","Classical"
"1146","Blues"
"1147","Classical"
"1148","Classical"
"1149","Classical"
"1150","Metal"
"1151","Jazz"
"1152","Classical"
"1153","Rock"
"1154","Classical"
"1155","Rock"
"1156","Rock"
"1157","Blues"
"1158","Pop"
"1159","Rock"
"1160","Pop"
"1161","Jazz"
"1162","Classical"
"1163","Blues"
"1164","Jazz"
"1165","Classical"
"1166","Rock"
"1167","Metal"
"1168","Pop"
"1169","Classical"
"1170","Pop"
"1171","Rock"
"1172","Metal"
"1173","Jazz"
"1174","Classical"
"1175","Classical"
"1176","Pop"
"1177","Blues"
"1178","Blues"
"1179","Jazz"
"1180","Rock"
"1181","Jazz"
"1182","Metal"
"1183","Pop"
"1184","Pop"
"1185","Classical"
"1186","Jazz"
"1187","Blues"
"1188","Jazz"
"1189","Classical"
"1190","Jazz"
"1191","Metal"
"1192","Jazz"
"1193","Jazz"
"1194","Jazz"
"1195","Classical"
"1196","Rock"
"1197","Classical"
"1198","Pop"
"1199","Jazz"
"1200","Metal"
"1201","Jazz"
"1202","Pop"
"1203","Jazz"
"1204","Jazz"
"1205","Jazz"
"1206","Metal"
"1207","Pop"
"1208","Blues"
"1209","Metal"
"1210","Blues"
"1211","Jazz"
"1212","Classical"
"1213","Rock"
"1214","Blues"
"1215","Classical"
"1216","Pop"
"1217","Jazz"
"1218","Metal"
"1219","Classical"
"1220","Rock"
"1221","Jazz"
"1222","Classical"
"1223","Blues"
"1224","Jazz"
"1225","Classical"
"1226","Jazz"
"1227","Classical"
"1228","Jazz"
"1229","Classical"
"1230","Metal"
"1231","Pop"
"1232","Jazz"
"1233","Classical"
"1234","Jazz"
"1235","Rock"
"1236","Blues"
"1237","Classical"
"1238","Classical"
"1239","Classical"
"1240","Metal"
"1241","Rock"
"1242","Rock"
"1243","Jazz"
"1244","Jazz"
"1245","Metal"
"1246","Classical"
"1247","Blues"
"1248","Classical"
"1249","Pop"
"1250","Jazz"
"1251","Classical"
"1252","Blues"
"1253","Classical"
"1254","Rock"
"1255","Blues"
"1256","Jazz"
"1257","Metal"
"1258","Classical"
"1259","Classical"
"1260","Classical"
"1261","Pop"
"1262","Classical"
"1263","Pop"
"1264","Blues"
"1265","Jazz"
"1266","Classical"
"1267","Blues"
"1268","Jazz"
"1269","Rock"
"1270","Blues"
"1271","Rock"
"1272","Metal"
"1273","Classical"
"1274","Classical"
"1275","Blues"
"1276","Blues"
"1277","Jazz"
"1278","Blues"
"1279","Rock"
"1280","Jazz"
"1281","Jazz"
"1282","Blues"
"1283","Jazz"
"1284","Blues"
"1285","Jazz"
"1286","Classical"
"1287","Pop"
"1288","Pop"
"1289","Pop"
"1290","Pop"
"1291","Jazz"
"1292","Jazz"
"1293","Rock"
"1294","Classical"
"1295","Blues"
"1296","Classical"
"1297","Blues"
"1298","Jazz"
"1299","Classical"
"1300","Rock"
"1301","Pop"
"1302","Metal"
"1303","Classical"
"1304","Pop"
"1305","Jazz"
"1306","Classical"
"1307","Classical"
"1308","Rock"
"1309","Classical"
"1310","Pop"
"1311","Blues"
"1312","Jazz"
"1313","Pop"
"1314","Metal"
"1315","Rock"
"1316","Rock"
"1317","Jazz"
"1318","Jazz"
"1319","Blues"
"1320","Jazz"
"1321","Blues"
"1322","Rock"
"1323","Blues"
"1324","Jazz"
"1325","Blues"
"1326","Jazz"
"1327","Classical"
"1328","Rock"
"1329","Classical"
"1330","Classical"
"1331","Blues"
"1332","Classical"
"1333","Rock"
"1334","Pop"
"1335","Rock"
"1336","Classical"
"1337","Rock"
"1338","Classical"
"1339","Classical"
"1340","Pop"
"1341","Metal"
"1342","Pop"
"1343","Blues"
"1344","Blues"
"1345","Jazz"
"1346","Classical"
"1347","Pop"
"1348","Rock"
"1349","Pop"
"1350","Blues"
"1351","Jazz"
"1352","Pop"
"1353","Jazz"
"1354","Classical"
"1355","Classical"
"1356","Pop"
"1357","Metal"
"1358","Jazz"
"1359","Classical"
"1360","Rock"
"1361","Classical"
"1362","Jazz"
"1363","Jazz"
"1364","Classical"
"1365","Rock"
"1366","Classical"
"1367","Jazz"
"1368","Blues"
"1369","Rock"
"1370","Metal"
"1371","Classical"
"1372","Pop"
"1373","Pop"
"1374","Rock"
"1375","Classical"
"1376","Rock"
"1377","Jazz"
"1378","Rock"
"1379","Rock"
"1380","Pop"
"1381","Blues"
"1382","Blues"
"1383","Classical"
"1384","Classical"
"1385","Pop"
"1386","Rock"
"1387","Blues"
"1388","Blues"
"1389","Rock"
"1390","Metal"
"1391","Rock"
"1392","Blues"
"1393","Classical"
"1394","Metal"
"1395","Blues"
"1396","Blues"
"1397","Jazz"
"1398","Classical"
"1399","Pop"
"1400","Classical"
"1401","Classical"
"1402","Pop"
"1403","Metal"
"1404","Blues"
"1405","Jazz"
"1406","Jazz"
"1407","Classical"
"1408","Pop"
"1409","Classical"
"1410","Rock"
"1411","Classical"
"1412","Blues"
"1413","Rock"
"1414","Classical"
"1415","Classical"
"1416","Classical"
"1417","Classical"
"1418","Jazz"
"1419","Pop"
"1420","Jazz"
"1421","Blues"
"1422","Rock"
"1423","Jazz"
"1424","Classical"
"1425","Jazz"
"1426","Rock"
"1427","Jazz"
"1428","Metal"
"1429","Rock"
"1430","Jazz"
"1431","Classical"
"1432","Classical"
"1433","Blues"
"1434","Rock"
"1435","Rock"
"1436","Pop"
"1437","Metal"
"1438","Metal"
"1439","Jazz"
"1440","Rock"
"1441","Classical"
"1442","Metal"
"1443","Metal"
"1444","Rock"
"1445","Classical"
"1446","Metal"
"1447","Rock"
"1448","Classical"
"1449","Classical"
"1450","Metal"
"1451","Jazz"
"1452","Rock"
"1453","Rock"
"1454","Jazz"
"1455","Jazz"
"1456","Classical"
"1457","Classical"
"1458","Classical"
"1459","Rock"
"1460","Classical"
"1461","Pop"
"1462","Rock"
"1463","Classical"
"1464","Classical"
"1465","Classical"
"1466","Rock"
"1467","Jazz"
"1468","Classical"
"1469","Jazz"
"1470","Blues"
"1471","Rock"
"1472","Classical"
"1473","Jazz"
"1474","Classical"
"1475","Jazz"
"1476","Rock"
"1477","Classical"
"1478","Classical"
"1479","Pop"
"1480","Rock"
"1481","Classical"
"1482","Jazz"
"1483","Jazz"
"1484","Classical"
"1485","Pop"
"1486","Pop"
"1487","Jazz"
"1488","Jazz"
"1489","Jazz"
"1490","Classical"
"1491","Classical"
"1492","Jazz"
"1493","Classical"
"1494","Metal"
"1495","Jazz"
"1496","Rock"
"1497","Blues"
"1498","Blues"
"1499","Rock"
"1500","Classical"
"1501","Metal"
"1502","Jazz"
"1503","Classical"
"1504","Pop"
"1505","Classical"
"1506","Classical"
"1507","Rock"
"1508","Blues"
"1509","Rock"
"1510","Rock"
"1511","Classical"
"1512","Classical"
"1513","Rock"
"1514","Pop"
"1515","Rock"
"1516","Rock"
"1517","Jazz"
"1518","Rock"
"1519","Jazz"
"1520","Blues"
"1521","Rock"
"1522","Rock"
"1523","Classical"
"1524","Classical"
"1525","Metal"
"1526","Metal"
"1527","Rock"
"1528","Classical"
"1529","Metal"
"1530","Classical"
"1531","Classical"
"1532","Classical"
"1533","Classical"
"1534","Rock"
"1535","Rock"
"1536","Metal"
"1537","Jazz"
"1538","Pop"
"1539","Rock"
"1540","Rock"
"1541","Jazz"
"1542","Blues"
"1543","Classical"
"1544","Blues"
"1545","Rock"
"1546","Jazz"
"1547","Jazz"
"1548","Classical"
"1549","Blues"
"1550","Blues"
"1551","Jazz"
"1552","Blues"
"1553","Jazz"
"1554","Jazz"
"1555","Classical"
"1556","Metal"
"1557","Blues"
"1558","Classical"
"1559","Pop"
"1560","Jazz"
"1561","Jazz"
"1562","Classical"
"1563","Rock"
"1564","Rock"
"1565","Classical"
"1566","Blues"
"1567","Pop"
"1568","Metal"
"1569","Classical"
"1570","Pop"
"1571","Metal"
"1572","Classical"
"1573","Rock"
"1574","Classical"
"1575","Jazz"
"1576","Classical"
"1577","Metal"
"1578","Classical"
"1579","Jazz"
"1580","Classical"
"1581","Jazz"
"1582","Pop"
"1583","Classical"
"1584","Classical"
"1585","Pop"
"1586","Rock"
"1587","Blues"
"1588","Blues"
"1589","Rock"
"1590","Jazz"
"1591","Rock"
"1592","Blues"
"1593","Rock"
"1594","Pop"
"1595","Classical"
"1596","Pop"
"1597","Pop"
"1598","Metal"
"1599","Classical"
"1600","Blues"
"1601","Blues"
"1602","Blues"
"1603","Classical"
"1604","Jazz"
"1605","Classical"
"1606","Classical"
"1607","Jazz"
"1608","Metal"
"1609","Metal"
"1610","Blues"
"1611","Blues"
"1612","Pop"
"1613","Jazz"
"1614","Pop"
"1615","Jazz"
"1616","Classical"
"1617","Jazz"
"1618","Classical"
"1619","Jazz"
"1620","Pop"
"1621","Blues"
"1622","Jazz"
"1623","Metal"
"1624","Pop"
